Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Compressor[0]/Enabled,network_table:///LiveWindow/Ungrouped/Compressor[0]/Pressure switch,"network_table:///LiveWindow/Ungrouped/DoubleSolenoid[0,2]/Value",network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[0]/Speed,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[1]/Speed,network_table:///SmartDashboard/Accelerometer,network_table:///SmartDashboard/Direction,network_table:///SmartDashboard/Drive Mode,network_table:///SmartDashboard/Left EO Encoder Speed RPS,network_table:///SmartDashboard/Left Master Current,network_table:///SmartDashboard/Left NEO Drive speed FPS,network_table:///SmartDashboard/Left NEO Encoder Inches,network_table:///SmartDashboard/Left NEO Encoder Position Ticks,network_table:///SmartDashboard/Left NEO Encoder Speed Inches,network_table:///SmartDashboard/Left Rio Drive speed FPS,network_table:///SmartDashboard/Left Rio Encoder Inches,network_table:///SmartDashboard/Left Rio Encoder Position Ticks,network_table:///SmartDashboard/Left Rio Encoder Speed Inches,network_table:///SmartDashboard/Left Slave 1 Current,network_table:///SmartDashboard/Left Slave 2 Current,network_table:///SmartDashboard/Left Voltage,network_table:///SmartDashboard/Mode,network_table:///SmartDashboard/Neutral Mode,network_table:///SmartDashboard/Right Master Current,network_table:///SmartDashboard/Right NEO Drive speed FPS,network_table:///SmartDashboard/Right NEO Encoder Inches,network_table:///SmartDashboard/Right NEO Encoder Position Ticks,network_table:///SmartDashboard/Right NEO Encoder Speed Inches,network_table:///SmartDashboard/Right NEO Encoder Speed RPS,network_table:///SmartDashboard/Right Rio Drive speed FPS,network_table:///SmartDashboard/Right Rio Encoder Inches,network_table:///SmartDashboard/Right Rio Encoder Position Ticks,network_table:///SmartDashboard/Right Rio Encoder Speed Inches,network_table:///SmartDashboard/Right Rio Encoder Speed RPS,network_table:///SmartDashboard/Right Slave 1 Current,network_table:///SmartDashboard/Right Slave 2 Current,network_table:///SmartDashboard/Right Voltage,network_table:///SmartDashboard/high Gear,network_table:///SmartDashboard/jetson/Angle To Target,network_table:///SmartDashboard/jetson/Distance,network_table:///SmartDashboard/jetson/Left hasLeft,network_table:///SmartDashboard/jetson/Left hasRight,network_table:///SmartDashboard/jetson/Left targetX,network_table:///SmartDashboard/jetson/Left targetY,network_table:///SmartDashboard/jetson/Left targetsFound,network_table:///SmartDashboard/jetson/Offset,network_table:///SmartDashboard/jetson/Right hasLeft,network_table:///SmartDashboard/jetson/Right hasRight,network_table:///SmartDashboard/jetson/Right targetX,network_table:///SmartDashboard/jetson/Right targetY,network_table:///SmartDashboard/jetson/Right targetsFound,network_table:///SmartDashboard/jetson/increment
0,,,,,1108321.0,RRR,true,0.0,0.0,0.0,1.0,false,true,Reverse,-452.25,1.0,0.0,1096.5,1.0,0.0,0.0,Backward,OPEN_LOOP,0.0,0.125,0.0,7.496971428571428,88.0,0.0,-0.0,2.4744525547445257,452.0,-0.0,0.15625,0.09375,0.0,QUASI_STATIC,kBrake,0.1875,0.0,7.667357142857143,-90.0,0.0,0.0,-0.0,6.0,1096.0,0.0,0.0,0.21875,0.21875,-0.02557856418042543,true,-1.0,-1.0,false,false,0.0,0.0,0.0,-1.0,false,false,0.0,0.0,0.0,15816.0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02557856418042543,,,,,,,,,,,,,,,15818.0
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02557856418042543,,,,,,,,,,,,,,,15821.0
237,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,-0.025595492416150396,,,,,,,,,,,,,,,15823.0
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025595492416150396,,,,,,,,,,,,,,,15825.0
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,,,,0.1875,,,,,,,,,,,,,-0.025595492416150396,,,,,,,,,,,,,,,15827.0
537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,,,,0.1875,,,,,,,,,,,,,-0.025595492416150396,,,,,,,,,,,,,,,15830.0
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15832.0
738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025595492416150396,,,,,,,,,,,,,,,15834.0
837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15836.0
938,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.09375,,0.0,0.0,,,-0.0,-0.0,,,,,,,0.125,,-0.0,0.0,,,,0.0,0.0,,,0.125,0.125,0.0,,,,,,,,,,,,,,,15839.0
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15841.0
1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15843.0
1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,-3.614535966063418E-4,,,,,,,,,,,,,,,,3.6049989318521683E-4,,,,,,,,,,,,,,,15845.0
1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010843607898190252,,,,,,,,,,,,,,,,0.0010814996795556506,,,,,,,,,,,,,,,15848.0
1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001446768089846492,,,,,,,,,,,,,,,,0.0014419995727408673,,,,,,,,,,,,,,,15850.0
