Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Compressor[0]/Enabled,network_table:///LiveWindow/Ungrouped/Compressor[0]/Pressure switch,"network_table:///LiveWindow/Ungrouped/DoubleSolenoid[0,2]/Value",network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[0]/Speed,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[1]/Speed,network_table:///SmartDashboard/Accelerometer,network_table:///SmartDashboard/Direction,network_table:///SmartDashboard/Drive Mode,network_table:///SmartDashboard/Left EO Encoder Speed RPS,network_table:///SmartDashboard/Left Master Current,network_table:///SmartDashboard/Left NEO Drive speed FPS,network_table:///SmartDashboard/Left NEO Encoder Inches,network_table:///SmartDashboard/Left NEO Encoder Position Ticks,network_table:///SmartDashboard/Left NEO Encoder Speed Inches,network_table:///SmartDashboard/Left Rio Drive speed FPS,network_table:///SmartDashboard/Left Rio Encoder Inches,network_table:///SmartDashboard/Left Rio Encoder Position Ticks,network_table:///SmartDashboard/Left Rio Encoder Speed Inches,network_table:///SmartDashboard/Left Slave 1 Current,network_table:///SmartDashboard/Left Slave 2 Current,network_table:///SmartDashboard/Left Voltage,network_table:///SmartDashboard/Mode,network_table:///SmartDashboard/Neutral Mode,network_table:///SmartDashboard/Right Master Current,network_table:///SmartDashboard/Right NEO Drive speed FPS,network_table:///SmartDashboard/Right NEO Encoder Inches,network_table:///SmartDashboard/Right NEO Encoder Position Ticks,network_table:///SmartDashboard/Right NEO Encoder Speed Inches,network_table:///SmartDashboard/Right NEO Encoder Speed RPS,network_table:///SmartDashboard/Right Rio Drive speed FPS,network_table:///SmartDashboard/Right Rio Encoder Inches,network_table:///SmartDashboard/Right Rio Encoder Position Ticks,network_table:///SmartDashboard/Right Rio Encoder Speed Inches,network_table:///SmartDashboard/Right Rio Encoder Speed RPS,network_table:///SmartDashboard/Right Slave 1 Current,network_table:///SmartDashboard/Right Slave 2 Current,network_table:///SmartDashboard/Right Voltage,network_table:///SmartDashboard/high Gear,network_table:///SmartDashboard/jetson/Angle To Target,network_table:///SmartDashboard/jetson/Distance,network_table:///SmartDashboard/jetson/Left hasLeft,network_table:///SmartDashboard/jetson/Left hasRight,network_table:///SmartDashboard/jetson/Left targetX,network_table:///SmartDashboard/jetson/Left targetY,network_table:///SmartDashboard/jetson/Left targetsFound,network_table:///SmartDashboard/jetson/Offset,network_table:///SmartDashboard/jetson/Right hasLeft,network_table:///SmartDashboard/jetson/Right hasRight,network_table:///SmartDashboard/jetson/Right targetX,network_table:///SmartDashboard/jetson/Right targetY,network_table:///SmartDashboard/jetson/Right targetsFound,network_table:///SmartDashboard/jetson/increment
0,,,,,1108321.0,RRR,true,0.0,0.0,0.0,1.0,false,true,Reverse,-412.5,1.0,0.0,457.5,1.0,0.0,0.0,Forward,OPEN_LOOP,0.0,0.125,0.0,2.2150142857142856,26.0,0.0,-0.0,2.2554744525547448,412.0,-0.0,0.15625,0.09375,0.0,QUASI_STATIC,kBrake,0.125,0.0,8.49467380952381,-103.0,0.0,0.0,-0.0,2.5018248175182483,457.0,0.0,0.0,0.125,0.125,-3.609767448957793E-4,true,-1.0,-1.0,false,false,0.0,0.0,0.0,-1.0,false,false,0.0,0.0,0.0,14444.0
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,-3.612151707510605E-4,,,,,,,,,,,,,,,14446.0
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,0.125,-3.612151707510605E-4,,,,,,,,,,,,,,,14448.0
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,0.09375,,,,,,,,,,,,,,,,,-3.612151707510605E-4,,,,,,,,,,,,,,,14450.0
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,-3.609767448957793E-4,,,,,,,,,,,,,,,14453.0
494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.612151707510605E-4,,,,,,,,,,,,,,,14455.0
598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.612151707510605E-4,,,,,,,,,,,,,,,14457.0
695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.612151707510605E-4,,,,,,,,,,,,,,,14459.0
797,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.09375,,0.0,0.0,,,-0.0,-0.0,,,,,,,,,-0.0,0.0,,,,0.0,0.0,,,,0.15625,0.0,,,,,,,,,,,,,,,14462.0
895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,0.15625,0.125,,,,,,,,,,,,,,,,14464.0
995,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,14466.0
1097,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,3.626457258827479E-4,,,,,,,,,,,,,,,,-3.612151707510605E-4,,,,,,,,,,,,,,,14468.0
1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010879371776482437,,,,,,,,,,,,,,,,-0.0010829302346873379,,,,,,,,,,,,,,,14471.0
1296,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,0.125,,0.0014496292001098666,,,,,,,,,,,,,,,,-0.001443906979583117,,,,,,,,,,,,,,,14473.0
1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,0.0021758743552964875,,,,,,,,,,,,,,,,-0.002167291024506363,,,,,,,,,,,,,,,14475.0
