Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Compressor[0]/Enabled,network_table:///LiveWindow/Ungrouped/Compressor[0]/Pressure switch,"network_table:///LiveWindow/Ungrouped/DoubleSolenoid[0,2]/Value",network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[0]/Speed,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[1]/Speed,network_table:///SmartDashboard/Accelerometer,network_table:///SmartDashboard/Direction,network_table:///SmartDashboard/Drive Mode,network_table:///SmartDashboard/Left EO Encoder Speed RPS,network_table:///SmartDashboard/Left Master Current,network_table:///SmartDashboard/Left NEO Drive speed FPS,network_table:///SmartDashboard/Left NEO Encoder Inches,network_table:///SmartDashboard/Left NEO Encoder Position Ticks,network_table:///SmartDashboard/Left NEO Encoder Speed Inches,network_table:///SmartDashboard/Left Rio Drive speed FPS,network_table:///SmartDashboard/Left Rio Encoder Inches,network_table:///SmartDashboard/Left Rio Encoder Position Ticks,network_table:///SmartDashboard/Left Rio Encoder Speed Inches,network_table:///SmartDashboard/Left Slave 1 Current,network_table:///SmartDashboard/Left Slave 2 Current,network_table:///SmartDashboard/Left Voltage,network_table:///SmartDashboard/Mode,network_table:///SmartDashboard/Neutral Mode,network_table:///SmartDashboard/Right Master Current,network_table:///SmartDashboard/Right NEO Drive speed FPS,network_table:///SmartDashboard/Right NEO Encoder Inches,network_table:///SmartDashboard/Right NEO Encoder Position Ticks,network_table:///SmartDashboard/Right NEO Encoder Speed Inches,network_table:///SmartDashboard/Right NEO Encoder Speed RPS,network_table:///SmartDashboard/Right Rio Drive speed FPS,network_table:///SmartDashboard/Right Rio Encoder Inches,network_table:///SmartDashboard/Right Rio Encoder Position Ticks,network_table:///SmartDashboard/Right Rio Encoder Speed Inches,network_table:///SmartDashboard/Right Rio Encoder Speed RPS,network_table:///SmartDashboard/Right Slave 1 Current,network_table:///SmartDashboard/Right Slave 2 Current,network_table:///SmartDashboard/Right Voltage,network_table:///SmartDashboard/high Gear,network_table:///SmartDashboard/jetson/Angle To Target,network_table:///SmartDashboard/jetson/Distance,network_table:///SmartDashboard/jetson/Left hasLeft,network_table:///SmartDashboard/jetson/Left hasRight,network_table:///SmartDashboard/jetson/Left targetX,network_table:///SmartDashboard/jetson/Left targetY,network_table:///SmartDashboard/jetson/Left targetsFound,network_table:///SmartDashboard/jetson/Offset,network_table:///SmartDashboard/jetson/Right hasLeft,network_table:///SmartDashboard/jetson/Right hasRight,network_table:///SmartDashboard/jetson/Right targetX,network_table:///SmartDashboard/jetson/Right targetY,network_table:///SmartDashboard/jetson/Right targetsFound,network_table:///SmartDashboard/jetson/increment
0,,,,,1108321.0,RRR,true,0.0,0.0,0.0,1.0,false,true,Forward,-17.5,1.0,0.0,9.0,1.0,0.0,0.0,Forward,OPEN_LOOP,0.0,0.125,0.0,-0.5247857142857142,-18.0,0.0,-0.0,0.09306569343065693,17.0,-0.0,0.15625,0.09375,0.0,QUASI_STATIC,kBrake,0.125,0.0,-0.2040833333333333,7.0,0.0,0.0,-0.0,0.04927007299270073,9.0,0.0,0.0,0.15625,0.125,0.0,false,-1.0,-1.0,false,false,0.0,0.0,0.0,-1.0,false,false,0.0,0.0,0.0,7251.0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,,,,,,,,,,,,,,,,7253.0
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,,,,,,,,,,,,,,,,7255.0
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,7257.0
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,0.125,,,,,,,,,,,,,,,,7260.0
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,7262.0
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,0.15625,,,,,,,,,,,,,,,,,7264.0
648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,,,,,,,,,,,,,,,7267.0
749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,0.125,,,,,,,,,,,,,,,,7269.0
850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,0.125,,,,,,,,,,,,,,,,7271.0
952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,7273.0
1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,7276.0
1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,7278.0
1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,7280.0
1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,,,,,,,,,,,,,,,0.15625,,,,,,,,,,,,,,,,,7282.0
1450,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,-0.0,-0.0,,,,,,,,,-0.0,0.0,,,,0.0,0.0,,,0.15625,0.125,,,,,,,,,,,,,,,,7285.0
1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.15625,,,,,,,,,,,,,,,,7287.0
1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.15625,,,,,,,,,,,,,,,,7289.0
1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,3.631225775933103E-4,,,,,,,,,,,,,,0.125,0.125,-3.61692022461623E-4,,,,,,,,,,,,,,,7292.0
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,7.262451551866206E-4,,,,,,,,,,,,,,,,-7.23384044923246E-4,,,,,,,,,,,,,,,7294.0
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,0.0014524903103732413,,,,,,,,,,,,,,,,-0.001446768089846492,,,,,,,,,,,,,,,7296.0
2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,0.0018156128879665517,,,,,,,,,,,,,,,,-0.001809652241584521,,,,,,,,,,,,,,,7298.0
2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,0.0025418580431531726,,,,,,,,,,,,,,,,-0.002531844157231361,,,,,,,,,,,,,,,7301.0
2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036312257759331034,,,,,,,,,,,,,,,,-0.0036169202246162297,,,,,,,,,,,,,,,7303.0
2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004360332041383099,,,,,,,,,,,,,,,,-0.00434316537980285,,,,,,,,,,,,,,,7305.0
2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,0.005450415051728874,,,,,,,,,,,,,,,,-0.005428956724753563,,,,,,,,,,,,,,,7307.0
2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,0.006536206396679586,,,,,,,,,,,,,,,,-0.00614876438184759,,,,,,,,,,,,,,,7309.0
2652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.007625574129459517,,,,,,,,,,,,,,0.125,0.15625,-0.007600539414654988,,,,,,,,,,,,,,,7312.0
2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.00908402508621479,,,,,,,,,,,,,,0.15625,,-0.009042300561540574,,,,,,,,,,,,,,,7314.0
2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.010530554750206,,,,,,,,,,,,,,0.15625,,-0.010127376628925443,,,,,,,,,,,,,,,7316.0
