Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Compressor[0]/Enabled,network_table:///LiveWindow/Ungrouped/Compressor[0]/Pressure switch,"network_table:///LiveWindow/Ungrouped/DoubleSolenoid[0,2]/Value",network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[0]/Speed,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[1]/Speed,network_table:///SmartDashboard/Accelerometer,network_table:///SmartDashboard/Direction,network_table:///SmartDashboard/Drive Mode,network_table:///SmartDashboard/Left EO Encoder Speed RPS,network_table:///SmartDashboard/Left Master Current,network_table:///SmartDashboard/Left NEO Drive speed FPS,network_table:///SmartDashboard/Left NEO Encoder Inches,network_table:///SmartDashboard/Left NEO Encoder Position Ticks,network_table:///SmartDashboard/Left NEO Encoder Speed Inches,network_table:///SmartDashboard/Left Rio Drive speed FPS,network_table:///SmartDashboard/Left Rio Encoder Inches,network_table:///SmartDashboard/Left Rio Encoder Position Ticks,network_table:///SmartDashboard/Left Rio Encoder Speed Inches,network_table:///SmartDashboard/Left Slave 1 Current,network_table:///SmartDashboard/Left Slave 2 Current,network_table:///SmartDashboard/Left Voltage,network_table:///SmartDashboard/Mode,network_table:///SmartDashboard/Neutral Mode,network_table:///SmartDashboard/Right Master Current,network_table:///SmartDashboard/Right NEO Drive speed FPS,network_table:///SmartDashboard/Right NEO Encoder Inches,network_table:///SmartDashboard/Right NEO Encoder Position Ticks,network_table:///SmartDashboard/Right NEO Encoder Speed Inches,network_table:///SmartDashboard/Right NEO Encoder Speed RPS,network_table:///SmartDashboard/Right Rio Drive speed FPS,network_table:///SmartDashboard/Right Rio Encoder Inches,network_table:///SmartDashboard/Right Rio Encoder Position Ticks,network_table:///SmartDashboard/Right Rio Encoder Speed Inches,network_table:///SmartDashboard/Right Rio Encoder Speed RPS,network_table:///SmartDashboard/Right Slave 1 Current,network_table:///SmartDashboard/Right Slave 2 Current,network_table:///SmartDashboard/Right Voltage,network_table:///SmartDashboard/high Gear,network_table:///SmartDashboard/jetson/Angle To Target,network_table:///SmartDashboard/jetson/Distance,network_table:///SmartDashboard/jetson/Left hasLeft,network_table:///SmartDashboard/jetson/Left hasRight,network_table:///SmartDashboard/jetson/Left targetX,network_table:///SmartDashboard/jetson/Left targetY,network_table:///SmartDashboard/jetson/Left targetsFound,network_table:///SmartDashboard/jetson/Offset,network_table:///SmartDashboard/jetson/Right hasLeft,network_table:///SmartDashboard/jetson/Right hasRight,network_table:///SmartDashboard/jetson/Right targetX,network_table:///SmartDashboard/jetson/Right targetY,network_table:///SmartDashboard/jetson/Right targetsFound,network_table:///SmartDashboard/jetson/increment
0,,,,,1108321.0,RRR,true,0.0,0.0,0.0,1.0,false,true,Reverse,-1376.75,1.0,0.0,1854.75,1.0,0.0,0.0,Backward,OPEN_LOOP,0.0,0.25,0.0,10.904685714285714,128.0,0.0,-0.0,7.532846715328468,1376.0,-0.0,0.28125,0.25,0.058424348429822685,STEP_VOLTAGE,kBrake,0.21875,0.0,10.563914285714285,-124.0,0.0,0.0,-0.0,10.14963503649635,1854.0,0.0,0.0,0.21875,0.21875,-0.03510725348673971,true,-1.0,-1.0,false,false,0.0,0.0,0.0,-1.0,false,false,0.0,0.0,0.0,3139.0
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058424348429822685,,,0.28125,,,,,,,,,,,0.3125,0.3125,-0.0256970618305002,,,,,,,,,,,,,,,3141.0
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3143.0
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146.0
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058424348429822685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3148.0
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058424348429822685,,,,,,,,,,,,,,,,-0.02568013359477523,,,,,,,,,,,,,,,3150.0
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3152.0
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058424348429822685,,,0.28125,,,,,,,,,,,0.3125,0.3125,-0.0256970618305002,,,,,,,,,,,,,,,3155.0
741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.02568013359477523,,,,,,,,,,,,,,,3157.0
841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02568013359477523,,,,,,,,,,,,,,,3159.0
941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,,,,,,,,,,,,,,-0.0256970618305002,,,,,,,,,,,,,,,3161.0
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058424348429822685,,,,,,,,,,,,,,,,-0.0256970618305002,,,,,,,,,,,,,,,3163.0
1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058424348429822685,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.03510725348673971,,,,,,,,,,,,,,,3165.0
1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3168.0
1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3171.0
1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3173.0
1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.04596516693624683,,,,,,,,,,,,,,,3175.0
1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.28125,,,,,,,,,,,0.3125,0.3125,-0.03510725348673971,,,,,,,,,,,,,,,3177.0
1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3179.0
1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,0.28125,0.28125,-0.058309188741721855,,,,,,,,,,,,,,,3182.0
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,0.28125,0.28125,-0.058309188741721855,,,,,,,,,,,,,,,3184.0
2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.05827080217902158,,,,,,,,,,,,,,,3186.0
2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,0.21875,,,,,,,,,,,0.25,0.25,-0.058309188741721855,,,,,,,,,,,,,,,3188.0
2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.28125,,,,,,,,,,,0.3125,0.3125,-0.04599544701986755,,,,,,,,,,,,,,,3191.0
2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,0.25,0.28125,-0.025713990066225167,,,,,,,,,,,,,,,3193.0
2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,0.25,0.28125,-0.058309188741721855,,,,,,,,,,,,,,,3195.0
2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28125,,,,,,,,,,,0.28125,0.28125,-0.04599544701986755,,,,,,,,,,,,,,,3197.0
2644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.28125,,,,,,,,,,,0.28125,0.28125,-0.025713990066225167,,,,,,,,,,,,,,,3200.0
2744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.28125,,,,,,,,,,,0.25,0.25,-0.025713990066225167,,,,,,,,,,,,,,,3202.0
2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3204.0
2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-0.0256970618305002,,,,,,,,,,,,,,,3206.0
3044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.0256970618305002,,,,,,,,,,,,,,,3209.0
3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,0.28125,,,,,,,,,,,0.25,0.25,-0.058309188741721855,,,,,,,,,,,,,,,3211.0
3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,0.28125,,,,,,,,,,,0.28125,0.28125,-0.025730918301950133,,,,,,,,,,,,,,,3213.0
3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.025713990066225167,,,,,,,,,,,,,,,3215.0
3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,0.21875,,,,,,,,,,,0.21875,0.21875,-0.025713990066225167,,,,,,,,,,,,,,,3218.0
3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-0.04599544701986755,,,,,,,,,,,,,,,3220.0
