Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Compressor[0]/Enabled,network_table:///LiveWindow/Ungrouped/Compressor[0]/Pressure switch,"network_table:///LiveWindow/Ungrouped/DoubleSolenoid[0,2]/Value",network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[0]/Speed,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[1]/Speed,network_table:///SmartDashboard/Accelerometer,network_table:///SmartDashboard/Direction,network_table:///SmartDashboard/Drive Mode,network_table:///SmartDashboard/Left EO Encoder Speed RPS,network_table:///SmartDashboard/Left Master Current,network_table:///SmartDashboard/Left NEO Drive speed FPS,network_table:///SmartDashboard/Left NEO Encoder Inches,network_table:///SmartDashboard/Left NEO Encoder Position Ticks,network_table:///SmartDashboard/Left NEO Encoder Speed Inches,network_table:///SmartDashboard/Left Rio Drive speed FPS,network_table:///SmartDashboard/Left Rio Encoder Inches,network_table:///SmartDashboard/Left Rio Encoder Position Ticks,network_table:///SmartDashboard/Left Rio Encoder Speed Inches,network_table:///SmartDashboard/Left Slave 1 Current,network_table:///SmartDashboard/Left Slave 2 Current,network_table:///SmartDashboard/Left Voltage,network_table:///SmartDashboard/Mode,network_table:///SmartDashboard/Neutral Mode,network_table:///SmartDashboard/Right Master Current,network_table:///SmartDashboard/Right NEO Drive speed FPS,network_table:///SmartDashboard/Right NEO Encoder Inches,network_table:///SmartDashboard/Right NEO Encoder Position Ticks,network_table:///SmartDashboard/Right NEO Encoder Speed Inches,network_table:///SmartDashboard/Right NEO Encoder Speed RPS,network_table:///SmartDashboard/Right Rio Drive speed FPS,network_table:///SmartDashboard/Right Rio Encoder Inches,network_table:///SmartDashboard/Right Rio Encoder Position Ticks,network_table:///SmartDashboard/Right Rio Encoder Speed Inches,network_table:///SmartDashboard/Right Rio Encoder Speed RPS,network_table:///SmartDashboard/Right Slave 1 Current,network_table:///SmartDashboard/Right Slave 2 Current,network_table:///SmartDashboard/Right Voltage,network_table:///SmartDashboard/high Gear,network_table:///SmartDashboard/jetson/Angle To Target,network_table:///SmartDashboard/jetson/Distance,network_table:///SmartDashboard/jetson/Left hasLeft,network_table:///SmartDashboard/jetson/Left hasRight,network_table:///SmartDashboard/jetson/Left targetX,network_table:///SmartDashboard/jetson/Left targetY,network_table:///SmartDashboard/jetson/Left targetsFound,network_table:///SmartDashboard/jetson/Offset,network_table:///SmartDashboard/jetson/Right hasLeft,network_table:///SmartDashboard/jetson/Right hasRight,network_table:///SmartDashboard/jetson/Right targetX,network_table:///SmartDashboard/jetson/Right targetY,network_table:///SmartDashboard/jetson/Right targetsFound,network_table:///SmartDashboard/jetson/increment
0,,,,,1108321.0,RRR,true,0.0,0.0,0.0,1.0,false,true,Reverse,245.25,1.0,0.0,-288.25,1.0,0.0,0.0,Forward,OPEN_LOOP,0.0,0.125,0.0,-0.8519285714285714,-10.0,0.0,-0.0,-1.3412408759124088,-245.0,-0.0,0.15625,0.125,0.011249408703878902,STEP_VOLTAGE,kBrake,0.125,0.0,3.663292857142857,-43.0,0.0,0.0,-0.0,-1.5766423357664234,-288.0,0.0,0.0,0.125,0.125,-3.619304483169042E-4,true,-1.0,-1.0,false,false,0.0,0.0,0.0,-1.0,false,false,0.0,0.0,0.0,2692.0
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011242017502365184,,,,,,,,,,,,,,,,-3.61692022461623E-4,,,,,,,,,,,,,,,2695.0
182,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,0.21875,0.1875,0.025764774773400067,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,2697.0
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.025764774773400067,,,,,,,,,,,,,,,,-3.619304483169042E-4,,,,,,,,,,,,,,,2699.0
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,0.025764774773400067,,,,,,,,,,,,,,,,-3.619304483169042E-4,,,,,,,,,,,,,,,2702.0
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.025764774773400067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2704.0
582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,2706.0
684,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,0.21875,,,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,2708.0
785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,-3.61692022461623E-4,,,,,,,,,,,,,,,2711.0
887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,-3.619304483169042E-4,,,,,,,,,,,,,,,2713.0
983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025764774773400067,,,,,,,,,,,,,,,0.125,-3.6216887417218544E-4,,,,,,,,,,,,,,,2715.0
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.025781703009125034,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,2717.0
1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.025764774773400067,,,,,,,,,,,,,,,,-3.619304483169042E-4,,,,,,,,,,,,,,,2720.0
1284,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,0.25,0.15625,0.025764774773400067,,,,,,,,,,,,,,,,-3.619304483169042E-4,,,,,,,,,,,,,,,2722.0
1383,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.21875,0.1875,0.03519976271858882,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,2724.0
1484,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,0.21875,0.1875,0.025764774773400067,,,,,,,,,,,,,,0.125,,-3.619304483169042E-4,,,,,,,,,,,,,,,2726.0
1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.046116567354350414,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,2729.0
1684,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,0.21875,0.1875,0.025764774773400067,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,2731.0
1783,,,,,,,,,,,,,,,-129.25,,-1848.428835489834,118.0,,3211.8194957443393,-1.0,,,1860.8113137327878,62.9375,,0.08519285714285714,1.0,,0.848910270863498,0.416058394160584,76.0,10.186923250361977,58.15625,58.65625,2.161911421933653,,,63.90625,,0.5111571428571429,-6.0,-1.3630857467842101,-16.000000381469725,0.848910270863498,0.3558394160583942,65.0,12.593633666309008,2300.4370830457788,-62.71875,60.9375,-2.183393829920347,,,,,,,,,,,,,,,2733.0
1885,,,,,,,,,,,,,,,-544.5,,-6060.606060606061,547.5,,6424.6707356248,-2.0,,,4672.897196261682,47.59375,0.5111571266078948,2.2150142857142856,26.0,6.133885519294738,2.1317961661777747,2.397810218978102,438.0,25.581553994133298,47.65625,46.21875,2.3533001476332895,,,45.90625,0.5111571266078948,1.5334714285714286,-18.0,-6.815428506431579,-79.99999923706055,2.1317961661777747,2.332116788321168,426.0,28.850869853726092,5270.092226613966,48.0,46.4375,-2.2986176545762507,,,,,,,,,,,,,,,2735.0
1985,,,,,,,,,,,,,,,-1265.75,,-9045.680687471733,1292.0,,7920.79207920792,22.0,,,9070.2947845805,33.625,1.732254675242106,6.219078571428571,73.0,20.78705610290527,4.405643453037604,6.881386861313869,1257.0,49.65489845573266,33.90625,33.625,2.4880534340952787,,,33.25,1.732254675242106,5.026378571428571,-59.0,-22.49091402572632,-263.9999969482422,4.405643453037604,6.9251824817518255,1265.0,52.0138009951974,9501.187648456058,34.40625,34.625,-2.452900402844325,,,,,,,,,,,,,,,2738.0
2085,,,,,,,,,,,,,,,-2147.25,,-7570.022710068131,2162.0,,8853.474988933156,-4.0,,,7358.351729212656,26.375,2.754569307607015,9.79717857142857,115.0,33.05483169128418,4.720169472964758,11.726277372262775,2142.0,40.28294742269703,28.71875,26.625,2.5329711962492754,,,28.90625,2.754569307607015,10.308335714285715,-121.0,-34.758687794189456,-408.0000244140625,4.720169472964758,11.748175182481752,2146.0,51.355089631749784,9380.863039399626,28.8125,29.34375,-2.5544536042359693,,,,,,,,,,,,,,,2740.0
2185,,,,,,,,,,,,,,,-3199.5,,-12812.299807815503,3209.75,,9354.536950420954,0.0,,,11580.775911986104,22.71875,3.6916906495157877,16.186642857142857,190.0,47.02645974273681,3.2938944372710743,17.38138686131387,3175.0,63.39840827729619,23.40625,21.8125,2.6052302049317912,,,21.6875,3.6916906495157877,16.6978,-196.0,-48.04878286804199,-564.0001342773437,3.2938944372710743,17.40875912408759,3180.0,59.92832572243597,10946.907498631637,22.3125,23.3125,-2.5778889584032716,,,,,,,,,,,,,,,2742.0
2285,,,,,,,,,,,,,,,-4305.75,,-11723.329425556858,4323.25,,11904.761904761905,-7.0,,,9555.661729574773,18.71875,4.31643800857544,20.787057142857144,244.0,53.841880514526366,5.373432032532907,23.51824817518248,4296.0,52.31201676774511,20.15625,19.15625,2.6755362674336984,,,19.0625,4.31643800857544,20.190707142857143,-237.0,-54.18266338256835,-636.0000732421875,5.373432032532907,23.49087591240876,4291.0,66.92484785751255,12224.938875305625,18.8125,19.4375,-2.6716303750724815,,,,,,,,,,,,,,,2744.0
2385,,,,,,,,,,,,,,,-5536.5,,-13531.799729364007,5533.75,,18885.741265344666,-30.0,,,13670.539986329459,16.6875,4.799196752421061,28.454414285714286,334.0,59.29421713195801,5.716846861679747,30.208029197080293,5518.0,74.8387225528985,17.15625,15.375,2.706783406323435,,,16.59375,4.799196752421061,27.68767857142857,-325.0,-59.635,-700.0,5.716846861679747,30.032846715328468,5486.0,64.86318192825269,11848.341232227489,16.03125,18.125,-2.7087363525040438,,,,,,,,,,,,,,,2747.0
2485,,,,,,,,,,,,,,,-6793.5,,-16233.766233766235,6774.5,,20263.424518743668,-12.0,,,7358.351729212656,14.9375,5.281955496266682,33.736371428571424,396.0,63.38346595520019,6.587788874542149,37.127737226277375,6782.0,40.28294742269703,15.9375,13.4375,2.7360775990325634,,,14.9375,5.281955496266682,35.52542142857143,-417.0,-62.70193661743164,-735.9999267578125,6.587788874542149,36.83211678832117,6728.0,67.21243161135084,12277.470841006752,15.25,16.28125,-2.7224069757683034,,,,,,,,,,,,,,,2749.0
2586,,,,,,,,,,,,,,,-8117.5,,-14869.888475836433,8070.25,,13440.860215053764,15.0,,,14450.86705202312,13.96875,5.565933939971924,42.085271428571424,494.0,66.79120727966308,5.793071486502144,44.3978102189781,8110.0,79.11058605122147,13.875,12.46875,2.7731835764641257,,,13.0,5.565933939971924,39.61467857142857,-465.0,-65.76888779418945,-772.0000244140625,5.793071486502144,44.058394160583944,8048.0,81.83038198422311,14947.683109118087,12.53125,14.21875,-2.7380305452131717,,,,,,,,,,,,,,,2751.0
2685,,,,,,,,,,,,,,,-9481.75,,-14503.263234227703,9415.75,,13708.019191226867,-30.0,,,14781.966001478198,12.53125,5.764717879943848,47.793192857142856,561.0,69.51739014770507,5.411677100380117,51.837591240875916,9469.0,80.92317154093905,11.9375,11.28125,2.7946659844508193,,,12.1875,5.764717879943848,48.04877142857143,-564.0,-69.1766,-812.0,5.411677100380117,51.35036496350365,9380.0,72.70189315729782,13280.212483399735,11.78125,13.25,-2.7770894688253427,,,,,,,,,,,,,,,2753.0
2785,,,,,,,,,,,,,,,-10551.5,,-32733.224222585926,10757.0,,16103.059581320453,-4.0,,,138.99699766485043,12.78125,5.906705281880696,56.482864285714285,663.0,71.562,4.863586136055905,57.667883211678834,10534.0,0.7609324689681592,12.90625,11.09375,2.775136522644734,,,11.96875,5.906705281880696,56.56805714285714,-664.0,-70.53968779418945,-828.0000244140625,4.863586136055905,58.729927007299274,10728.0,73.87925175093827,13495.27665317139,13.1875,13.3125,-2.7692776841029083,,,,,,,,,,,,,,,2756.0
2886,,,,,,,,,,,,,,,-11914.75,,-11862.396204033214,12140.75,,12610.340479192937,0.0,,,12894.906511927788,10.1875,6.048692077178955,62.361171428571424,732.0,72.92508779418945,6.177445897928827,65.17883211678833,11906.0,70.5925538974149,11.125,9.1875,2.8298190157017733,,,10.09375,6.048692077178955,60.998085714285715,-716.0,-71.90278286804198,-844.0001342773437,6.177445897928827,66.35036496350365,12120.0,72.22232921826551,13192.612137203167,10.09375,10.75,-2.7829483073671684,,,,,,,,,,,,,,,2758.0
2986,,,,,,,,,,,,,,,-13002.5,,-11983.223487118035,13558.75,,13245.033112582783,-9.0,,,13262.59946949602,11.6875,6.162283939971924,71.30642142857143,837.0,73.94740727966308,7.825118002779482,71.09671532846716,12987.0,72.60547154833588,12.9375,10.34375,2.8063836615344706,,,11.375,6.162283939971924,69.94333571428571,-821.0,-73.26587794189453,-860.000244140625,7.825118002779482,73.94890510948906,13508.0,68.86103842445945,12578.61635220126,11.21875,11.65625,-2.779042415005951,,,,,,,,,,,,,,,2760.0
3087,,,,,,,,,,,,,,,-14157.75,,-13908.205841446454,14990.0,,14880.952380952382,-14.0,,,7961.783439490447,10.3125,6.2190798713684075,77.35511428571428,908.0,74.62895845642089,6.353821442368299,77.43613138686132,14145.0,43.586405690641136,10.1875,9.21875,2.8278660695211646,,,9.3125,6.2190798713684075,79.05897142857143,-928.0,-74.96972676513671,-880.000146484375,6.353821442368299,81.82664233576642,14947.0,92.24014414059857,16849.199663016007,9.625,10.34375,-2.8063836615344706,,,,,,,,,,,,,,,2762.0
3187,,,,,,,,,,,,,,,-15425.5,,-15094.33962264151,16442.5,,14015.41695865452,-3.0,,,14825.796886582653,9.46875,6.304271948547363,86.55594285714285,1016.0,75.65126338256836,7.641614398024185,84.3558394160584,15409.0,81.16312164187585,9.96875,8.8125,2.822007230979339,,,9.25,6.304271948547363,83.57419285714285,-981.0,-75.31050235351562,-884.0001953125,7.641614398024185,89.75912408759125,16396.0,79.9190153977303,14598.540145985402,9.5625,9.78125,-2.814195446256905,,,,,,,,,,,,,,,2765.0
3287,,,,,,,,,,,,,,,-16402.0,,-14609.203798392988,17869.75,,12232.415902140674,0.0,,,14641.288433382138,9.65625,6.389464632364909,92.68982857142856,1088.0,76.67357558837891,6.679419905740027,89.69343065693431,16384.0,80.15303886888033,10.375,8.9375,2.825913123340556,,,9.03125,6.389464632364909,92.77502142857142,-1089.0,-76.33279999999999,-896.0,6.679419905740027,97.57664233576642,17824.0,102.13530885717401,18656.71641791045,9.46875,9.9375,-2.814195446256905,,,,,,,,,,,,,,,2767.0
3386,,,,,,,,,,,,,,,-17710.25,,-15503.87596899225,19327.75,,14461.315979754158,3.0,,,13540.961408259987,10.3125,6.41786199142456,101.97585,1197.0,77.01434389709472,6.177445897928827,96.87043795620438,17695.0,74.12935077514592,10.625,9.4375,2.8239601771599476,,,8.875,6.41786199142456,101.97585,-1197.0,-76.67356830871582,-899.9999633789063,6.177445897928827,105.64598540145985,19298.0,81.95288255605578,14970.059880239522,8.875,10.1875,-2.8161483924375132,,,,,,,,,,,,,,,2769.0
3487,,,,,,,,,,,,,,,-18842.75,,-14662.75659824047,20750.25,,14577.25947521866,16.0,,,12698.4126984127,9.0,6.417862598063151,108.1097357142857,1269.0,77.01435117675781,5.793071486502144,103.05109489051095,18824.0,69.51685783802573,9.75,8.5,2.8532543698690755,,,9.0,6.417862598063151,106.57626428571429,-1251.0,-76.67357558837891,-900.000048828125,5.793071486502144,113.4087591240876,20716.0,83.19836709338185,15197.568389057751,9.09375,9.9375,-2.8161483924375132,,,,,,,,,,,,,,,2771.0
3588,,,,,,,,,,,,,,,-20143.5,,-8587.376556462,22247.25,,19065.776930409913,15.0,,,10400.416016640667,9.34375,6.474657922821045,117.48094999999999,1379.0,77.69589507385254,4.744715336058699,110.20620437956205,20131.0,56.93658403270439,9.9375,8.78125,2.8317719618823816,,,9.625,6.474657922821045,115.77709285714285,-1359.0,-77.01435117675781,-904.00009765625,4.744715336058699,121.5,22194.0,89.81874577103406,16406.890894175554,9.25,10.3125,-2.800524822992645,,,,,,,,,,,,,,,2774.0
3687,,,,,,,,,,,,,,,-21362.0,,-15649.45226917058,23712.25,,15797.788309636653,6.0,,,15372.790161414297,9.0625,6.531453247578939,123.78522142857142,1453.0,78.37743897094727,7.013134197725502,116.86861313868614,21348.0,84.15761037270602,9.59375,8.46875,2.8298190157017733,,,8.9375,6.531453247578939,125.14830714285713,-1469.0,-77.35512676513672,-908.000146484375,7.013134197725502,129.6514598540146,23683.0,69.47274815665642,12690.35532994924,8.53125,9.59375,-2.8239601771599476,,,,,,,,,,,,,,,2776.0
3787,,,,,,,,,,,,,,,-22348.75,,-12861.736334405146,25156.75,,13869.625520110958,-6.0,,,11286.681715575622,9.3125,6.531453247578939,133.15643571428572,1563.0,78.37743897094727,5.14903362936844,122.28284671532847,22337.0,61.788403552421286,10.59375,8.65625,2.84739553132725,,,9.53125,6.531453247578939,129.74872142857143,-1523.0,-77.35512676513672,-908.000146484375,5.14903362936844,137.45255474452554,25108.0,83.83541431461754,15313.935681470137,9.5,9.90625,-2.818101338618122,,,,,,,,,,,,,,,2778.0
3888,,,,,,,,,,,,,,,-23686.25,,-12634.238787113076,26640.0,,14164.3059490085,-14.0,,,12414.649286157668,8.5,6.559851213277181,139.5459,1638.0,78.71821455932617,5.663617375071929,129.59671532846716,23673.0,67.96340850086315,9.1875,8.71875,2.851301423688467,,,8.625,6.559851213277181,139.1199357142857,-1633.0,-77.69590235351562,-912.0001953125,5.663617375071929,145.52737226277372,26583.0,78.37441023256301,14316.392269148177,9.09375,9.6875,-2.84739553132725,,,,,,,,,,,,,,,2780.0
3991,,,,,,,,,,,,,,,-24888.75,,-13540.961408259987,28105.0,,10537.407797681772,-18.0,,,13755.158184319122,8.65625,6.588249178975423,149.0875,1750.0,79.05899014770507,6.275163405255074,136.20985401459853,24881.0,75.30196086306088,9.4375,8.40625,2.84739553132725,,,8.6875,6.588249178975423,148.40595714285715,-1742.0,-77.35512676513672,-908.000146484375,6.275163405255074,153.71715328467155,28079.0,129.26688440955198,23612.75088547816,8.78125,9.375,-2.8298190157017733,,,,,,,,,,,,,,,2783.0
4088,,,,,,,,,,,,,,,-26209.25,,-11312.217194570136,29579.25,,12626.262626262625,-2.0,,,13986.013986013986,8.65625,6.645044503733317,155.39177142857142,1824.0,79.7405340447998,6.380480833035578,143.36496350364965,26188.0,76.56576999642694,9.1875,8.40625,2.84739553132725,,,8.46875,6.645044503733317,153.09156428571427,-1797.0,-78.03667794189452,-916.000244140625,6.380480833035578,161.6332116788321,29525.0,65.17205422314912,11904.761904761905,8.34375,9.5625,-2.8376308004242072,,,,,,,,,,,,,,,2785.0
4188,,,,,,,,,,,,,,,-27376.0,,-12987.012987012988,31030.5,,14513.78809869376,-2.0,,,13531.799729364007,9.0625,6.588250392252604,164.84817857142858,1935.0,79.05900470703125,6.173266299892339,149.78649635036496,27361.0,74.07919559870807,9.6875,8.4375,2.839583746604816,,,9.0625,6.588250392252604,162.46277857142857,-1907.0,,,6.173266299892339,169.60401459854015,30981.0,75.45765065119953,13783.597518952447,8.5625,10.0,-2.835677854243599,,,,,,,,,,,,,,,2788.0
4288,,,,,,,,,,,,,,,-28526.5,,-12987.012987012988,32477.0,,18535.681186283597,-33.0,,,13689.253935660507,8.96875,6.559852426554362,171.15245,2009.0,78.71822911865235,6.245097598385268,156.12591240875912,28519.0,74.94117118062321,10.09375,8.5,2.835677854243599,,,9.125,6.559852426554362,171.7488,-2016.0,-77.35512676513672,-908.000146484375,6.245097598385268,177.6624087591241,32453.0,86.62108472697035,15822.784810126584,9.0625,9.625,-2.839583746604816,,,,,,,,,,,,,,,2791.0
4388,,,,,,,,,,,,,,,-29831.5,,-10449.320794148382,33942.0,,15637.21657544957,-14.0,,,11280.315848843768,9.84375,6.5314544608561205,180.5236642857143,2119.0,78.37745353027344,5.1461294930856605,163.23722627737226,29818.0,61.75355391702793,10.75,8.96875,2.814195446256905,,,9.625,6.5314544608561205,176.34921428571428,-2070.0,-77.01435117675781,-904.00009765625,5.1461294930856605,185.52372262773724,33889.0,96.97878750654608,17714.79185119575,9.65625,10.125,-2.8161483924375132,,,,,,,,,,,,,,,2793.0
4488,,,,,,,,,,,,,,,-30712.25,,-14084.507042253523,35397.5,,13869.625520110958,1.0,,,13550.135501355015,8.90625,6.5314544608561205,186.74274285714284,2192.0,78.37745353027344,6.181631159377289,168.05474452554745,30698.0,74.17957391252746,9.96875,8.46875,2.8454425851466416,,,8.6875,6.5314544608561205,185.55004285714284,-2178.0,-76.67357558837891,-900.000048828125,6.181631159377289,193.54379562043798,35354.0,67.04779613894092,12247.39742804654,9.0625,9.375,-2.851301423688467,,,,,,,,,,,,,,,2795.0
4588,,,,,,,,,,,,,,,-32162.75,,-15785.319652722968,36843.5,,13192.612137203167,1.0,,,15243.902439024392,9.125,6.531453854217529,196.11395714285715,2302.0,78.37744625061035,6.954335054299449,175.992700729927,32148.0,83.45202065159339,9.90625,8.65625,2.8376308004242072,,,9.28125,6.531453854217529,194.8360642857143,-2287.0,-77.01435117675781,-904.00009765625,6.954335054299449,201.4434306569343,36797.0,84.09297319116016,15360.983102918588,9.53125,9.875,-2.8298190157017733,,,,,,,,,,,,,,,2798.0
4689,,,,,,,,,,,,,,,-33461.5,,-15117.157974300833,38297.25,,13869.625520110958,2.0,,,14461.315979754158,9.46875,6.5030552818806955,202.3330357142857,2375.0,78.03666338256835,6.597315684194416,183.08759124087592,33444.0,79.16778821033299,10.09375,8.71875,2.835677854243599,,,9.3125,6.5030552818806955,199.43647857142855,-2341.0,,,6.597315684194416,209.36496350364965,38244.0,80.92317154093905,14781.966001478198,9.125,10.125,-2.8317719618823816,,,,,,,,,,,,,,,
4789,,,,,,,,,,,,,,,-34778.0,,-13623.978201634878,39738.25,,15467.904098994586,-9.0,,,13783.597518952447,8.8125,6.474657316182454,211.61905714285714,2484.0,77.69588779418945,6.288137554266627,190.3412408759124,34769.0,75.45765065119953,9.5625,8.40625,2.839583746604816,,,9.15625,6.474657316182454,208.63730714285714,-2449.0,-77.01435117675781,-904.00009765625,6.288137554266627,217.4014598540146,39712.0,91.54602934355394,16722.408026755853,8.71875,9.96875,-2.841536692785424,,,,,,,,,,,,,,,2800.0
4891,,,,,1108320.0,,,,,,,,,,-387.0,,-4534.119247336205,492.75,,5305.039787798409,-18.0,,,4000.8001600320067,0.09375,5.793115845642089,1.1926999999999999,14.0,69.51739014770507,1.8251825547591272,2.091240875912409,382.0,21.902190657109525,0.15625,0.09375,0.0,,,0.125,5.793115845642089,2.300207142857143,-27.0,-67.81351220581054,-795.9999755859375,1.8251825547591272,2.6058394160583944,476.0,36.05171257651976,6585.446163977609,0.15625,0.125,0.0,,,,,,,,,,,,,,,2802.0
4989,,,,,,,,,,,,,,,-760.75,,-2329.3733985557888,1023.25,,4607.2333563695,-14.0,,,2804.655728509326,0.09375,4.486823982849121,5.281957142857142,62.0,53.841887794189454,1.279496226509729,4.155109489051095,759.0,15.353954718116748,,,,,,,4.486823982849121,4.259642857142857,-50.0,-51.797248823242185,-607.99990234375,1.279496226509729,5.562043795620438,1016.0,26.711161525955237,4879.2388387411565,,,,,,,,,,,,,,,,,,2805.0
5091,,,,,,,,,,,,,,,-1036.75,,-2992.6679634894513,1435.5,,3433.4763948497853,-3.0,,,2760.5244996549345,0.09375,2.8681587438456213,7.2413928571428565,85.0,34.41790492614746,1.259363366630901,5.666058394160584,1035.0,15.112360399570811,,,,,,,2.8681587438456213,7.2413928571428565,-85.0,-32.03251220581054,-375.9999755859375,1.259363366630901,7.822992700729928,1429.0,17.07032290222802,3118.1789834736514,,,,,,,,,,,,,,,,,,2807.0
5189,,,,,,,,,,,,,,,-1134.25,,-512.5182584629578,1653.5,,540.1026194977046,15.0,,,436.59542884586,0.09375,1.8742426838175454,9.200828571428572,108.0,22.490912205810545,0.19917674673625,6.208029197080292,1134.0,2.390120960835,,,,,,,1.8742426838175454,8.774864285714285,-103.0,-19.76474389709473,-232.00001220703126,0.19917674673625,9.043795620437956,1652.0,3.1202351409202196,569.9629524080934,,,,,,,,,,,,,,,,,,2810.0
5292,,,,,,,,,,,,,,,-1194.5,,-567.5046819136259,1704.75,,612.0700208103807,-1.0,,,595.4153021732659,0.125,1.0791099571228027,9.541599999999999,112.0,12.949319485473632,0.2716310685097016,6.536496350364964,1194.0,3.2595728221164193,,,,,,,1.0791099571228027,8.94525,-105.0,-10.904680514526367,-127.99993896484375,0.2716310685097016,9.322992700729927,1703.0,3.3507482891079237,612.0700208103807,,,,,,,,,,,,,,,,,,2812.0
